element,total_energy_ev,atom_count,mu_ev_per_atom
Al,-68.55198275381794,1.0,-68.55198275381794
Mg,-3410.2640821773552,2.0,-1705.1320410886776
Si,-310.7530883267634,2.0,-155.3765441633817
