case_id,case_type,composition,calculation_type,atom_count,neighbour_shell,initial_pair_distance_angstrom,final_pair_distance_angstrom,total_energy_ev,energy_per_atom_ev,scf_converged,ionic_converged,job_done,valid_result,ecutwfc_ry,ecutrho_ry,kpoints,smearing,degauss_ry,pseudopotential_identifiers,wall_time_seconds,output_path
Al30MgSi_1NN,defect,Al30MgSi,relax,32,1.0,2.8637824638055176,2.860324401791323,-3916.7089325351503,-122.39715414172345,True,True,True,True,50,400,"[8, 8, 8]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",8.14,runs/production/Al30MgSi_1NN/pw.out
Al30MgSi_2NN,defect,Al30MgSi,relax,32,2.0,4.05,4.05,-3916.672853230241,-122.39602666344503,True,True,True,True,50,400,"[8, 8, 8]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",31.89,runs/production/Al30MgSi_2NN/pw.out
Al30MgSi_far,defect,Al30MgSi,relax,32,5.0,7.014805770653953,7.014805770653953,-3916.6892268655733,-122.39653833954917,True,True,True,True,50,400,"[8, 8, 8]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",,runs/production/Al30MgSi_far/pw.out
Al31Mg,defect,Al31Mg,relax,32,,,,-3830.283881759547,-119.69637130498585,True,True,True,True,50,400,"[8, 8, 8]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",,runs/production/Al31Mg/pw.out
Al31Si,defect,Al31Si,relax,32,,,,-2280.1908497651493,-71.25596405516092,True,True,True,True,50,400,"[8, 8, 8]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",,runs/production/Al31Si/pw.out
Al32,defect,Al32,relax,32,,,,-2193.80843229289,-68.55651350915281,True,True,True,True,50,400,"[8, 8, 8]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",,runs/production/Al32/pw.out
ref_Al_fcc,elemental_reference,Al,vc-relax,1,,,,-68.55198275381794,-68.55198275381794,True,True,True,True,50,400,"[8, 8, 8]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",47.97,runs/production/ref_Al_fcc/pw.out
ref_Mg_hcp,elemental_reference,Mg2,vc-relax,2,,,,-3410.2640821773552,-1705.1320410886776,True,True,True,True,50,400,"[8, 8, 8]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",32.4,runs/production/ref_Mg_hcp/pw.out
ref_Si_diamond,elemental_reference,Si2,vc-relax,2,,,,-310.7530883267634,-155.3765441633817,True,True,True,True,50,400,"[8, 8, 8]",mv,0.02,"{'Al': 'Al.us.pbe.z_3.ld1.psl.v1.0.0-low.upf', 'Mg': 'Mg.us.pbe.z_10.uspp.gbrv.v1.4.upf', 'Si': 'Si.us.pbe.z_4.ld1.psl.v1.0.0-high.upf'}",55.34,runs/production/ref_Si_diamond/pw.out
